itl1,itl1name,itl2,itl2name,itl3,itl3name,mca,mcaname
TLL,Wales,TLL5,South East Wales,TLL54,Monmouthshire and Newport,,
TLL,Wales,TLL5,South East Wales,TLL54,Monmouthshire and Newport,,
TLM,Scotland,TLM0,Eastern Scotland,TLM01,Clackmannanshire and Fife,,
TLM,Scotland,TLM0,Eastern Scotland,TLM01,Clackmannanshire and Fife,,
TLM,Scotland,TLM0,Eastern Scotland,TLM02,"Perth and Kinross, and Stirling",,
TLM,Scotland,TLM0,Eastern Scotland,TLM02,"Perth and Kinross, and Stirling",,
TLM,Scotland,TLM0,Eastern Scotland,TLM03,Angus and Dundee City,,
TLM,Scotland,TLM0,Eastern Scotland,TLM03,Angus and Dundee City,,
TLM,Scotland,TLM1,East Central Scotland,TLM11,East Lothian and Midlothian,,
TLM,Scotland,TLM1,East Central Scotland,TLM11,East Lothian and Midlothian,,
TLM,Scotland,TLM1,East Central Scotland,TLM12,Falkirk,,
TLM,Scotland,TLM1,East Central Scotland,TLM13,City of Edinburgh,,
TLM,Scotland,TLM1,East Central Scotland,TLM14,West Lothian,,
TLM,Scotland,TLM2,Highlands and Islands,TLM20,Highlands and Islands,,
TLM,Scotland,TLM2,Highlands and Islands,TLM20,Highlands and Islands,,
TLM,Scotland,TLM2,Highlands and Islands,TLM20,Highlands and Islands,,
TLM,Scotland,TLM2,Highlands and Islands,TLM20,Highlands and Islands,,
TLM,Scotland,TLM2,Highlands and Islands,TLM20,Highlands and Islands,,
TLM,Scotland,TLM2,Highlands and Islands,TLM20,Highlands and Islands,,
TLM,Scotland,TLM2,Highlands and Islands,TLM20,Highlands and Islands,,
TLM,Scotland,TLM3,West Central Scotland,TLM31,East Dunbartonshire and West Dunbartonshire,,
TLM,Scotland,TLM3,West Central Scotland,TLM31,East Dunbartonshire and West Dunbartonshire,,
TLM,Scotland,TLM3,West Central Scotland,TLM32,Glasgow City,,
TLM,Scotland,TLM3,West Central Scotland,TLM33,"Inverclyde, East Renfrewshire, and Renfrewshire",,
TLM,Scotland,TLM3,West Central Scotland,TLM33,"Inverclyde, East Renfrewshire, and Renfrewshire",,
TLM,Scotland,TLM3,West Central Scotland,TLM33,"Inverclyde, East Renfrewshire, and Renfrewshire",,
TLM,Scotland,TLM3,West Central Scotland,TLM34,North Lanarkshire,,
TLM,Scotland,TLM5,North Eastern Scotland,TLM50,Aberdeen City and Aberdeenshire,,
TLM,Scotland,TLM5,North Eastern Scotland,TLM50,Aberdeen City and Aberdeenshire,,
TLM,Scotland,TLM9,Southern Scotland,TLM91,Scottish Borders,,
TLM,Scotland,TLM9,Southern Scotland,TLM92,Dumfries and Galloway,,
TLM,Scotland,TLM9,Southern Scotland,TLM93,North Ayrshire and East Ayrshire,,
TLM,Scotland,TLM9,Southern Scotland,TLM93,North Ayrshire and East Ayrshire,,
TLM,Scotland,TLM9,Southern Scotland,TLM94,South Ayrshire,,
TLM,Scotland,TLM9,Southern Scotland,TLM95,South Lanarkshire,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN06,Belfast,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN07,"Armagh City, Banbridge and Craigavon",,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN08,"Newry, Mourne and Down",,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN09,Ards and North Down,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0A,Derry City and Strabane,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0B,Mid Ulster,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0C,Causeway Coast and Glens,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0D,Antrim and Newtownabbey,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0E,Lisburn and Castlereagh,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0F,Mid and East Antrim,,
TLN,Northern Ireland,TLN0,Northern Ireland,TLN0G,Fermanagh and Omagh,,
